,subject_id,academic_over_social,age,anxious,bookish,books_over_parties,calm,collect_books,conventional,critical,dependable,diagnosed_autistic,disorganized,education,engnat,enjoy_learning,excited_about_research,extraverted,familysize,gender,hand,hobbies_over_people,in_advanced_classes,intelligence_over_appearance,interested_science,introspective,libraries_over_publicspace,like_dry_topics,like_hard_material,like_science_fiction,like_superheroes,major,married,online_over_inperson,opennness,play_many_videogames,playes_rpgs,prefer_fictional_people,race_arab,race_asian,race_black,race_hispanic,race_native_american,race_native_austrailian,race_nerdy,race_white,read_tech_reports,religion,reserved,socially_awkward,strange_person,sympathetic,urban,voted,was_odd_child,watch_science_shows,writing_novel
1171,1171,3.0,34.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,5.0,6.0,4.0,1.0,1.0,5.0,5.0,2.0,4.0,2.0,5.0,5.0,1.0,4.0,4.0,Political Science,1.0,5.0,6.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,6.0,5.0,4.0,6.0,1.0,2.0,4.0,5.0,3.0
1172,1172,4.0,,2.0,3.0,5.0,5.0,4.0,3.0,5.0,0.0,2.0,5.0,,,3.0,5.0,2.0,,,,3.0,1.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,,,4.0,7.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,5.0,5.0,5.0,6.0,,,4.0,4.0,1.0
1173,1173,5.0,26.0,7.0,5.0,5.0,3.0,4.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,4.0,2.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,unknown,1.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,6.0,4.0,5.0,6.0,1.0,1.0,4.0,5.0,4.0
1174,1174,4.0,,5.0,5.0,5.0,5.0,4.0,1.0,2.0,7.0,2.0,5.0,,,2.0,4.0,1.0,,,,2.0,4.0,2.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,,,4.0,6.0,5.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,7.0,4.0,4.0,5.0,,,5.0,4.0,2.0
1175,1175,4.0,36.0,6.0,3.0,3.0,5.0,4.0,5.0,5.0,7.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,chemistry,2.0,3.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,6.0,4.0,4.0,6.0,2.0,2.0,3.0,5.0,3.0
1176,1176,4.0,56.0,2.0,3.0,4.0,7.0,4.0,6.0,2.0,4.0,2.0,5.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,Electrical Engineering,2.0,3.0,6.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,9.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,3.0
1177,1177,3.0,66.0,4.0,4.0,4.0,5.0,4.0,2.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,communications,2.0,3.0,2.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0
1178,1178,1.0,,3.0,4.0,5.0,6.0,1.0,5.0,1.0,7.0,2.0,3.0,,,1.0,4.0,2.0,,,,1.0,1.0,4.0,2.0,3.0,1.0,4.0,5.0,4.0,2.0,,,1.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,5.0,3.0,4.0,6.0,,,4.0,3.0,1.0
1179,1179,5.0,,1.0,5.0,5.0,7.0,4.0,2.0,1.0,6.0,2.0,2.0,,,1.0,5.0,1.0,,,,1.0,1.0,3.0,4.0,3.0,1.0,3.0,5.0,5.0,5.0,,,5.0,6.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,7.0,5.0,5.0,5.0,,,5.0,5.0,1.0
1180,1180,5.0,15.0,3.0,4.0,5.0,5.0,5.0,3.0,6.0,3.0,2.0,6.0,1.0,1.0,2.0,4.0,5.0,2.0,1.0,1.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,unknown,1.0,4.0,6.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,3.0
1181,1181,4.0,,5.0,5.0,5.0,7.0,5.0,1.0,6.0,7.0,2.0,2.0,,,5.0,4.0,7.0,,,,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,,,5.0,7.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,,5.0,5.0,5.0,1.0,,,5.0,5.0,5.0
1182,1182,5.0,,7.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,2.0,3.0,,,2.0,5.0,1.0,,,,5.0,2.0,5.0,5.0,5.0,2.0,2.0,5.0,4.0,5.0,,,5.0,7.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,,3.0,5.0,5.0,5.0,,,5.0,5.0,2.0
